sample,run,plate,type,gel_band,concentration,reads_total,qPCR_P/N,qPCR_score,average_Ct,qPCR_inhibition,qPCR_degradation
F281,Run 2,5,FERA,Yes,0.00,58619,P,4,41.2,No,No
F282,Run 2,5,FERA,Yes,29.30,100248,P,12,34.5,No,No
F283,Run 2,5,FERA,Yes,4.72,64652,N,1,39.4,No,No
F284,Run 2,5,FERA,Yes,2.81,68216,P,9,40.8,No,No
F285,Run 2,5,FERA,Yes,22.00,30908,P,11,39.6,No,No
F286,Run 2,5,FERA,Yes,0.60,45149,P,12,38.3,No,No
F287,Run 2,5,FERA,Yes,0.00,36790,N,1,41.9,No,No
F288,Run 2,5,FERA,No,0.00,6,P,11,38.6,No,No
F289,Run 2,5,FERA,Yes,7.26,52318,P,12,37.3,No,No
F28,Run 1,1,FERA,Yes,1.25,33120,P,5,43.5,No,No
F290,Run 2,5,FERA,No,0.00,7,N,1,41.7,No,No
F291,Run 2,5,FERA,Yes,0.00,22818,P,12,36.7,No,No
F292,Run 2,5,FERA,Yes,1.47,68967,N,2,40.7,No,No
F293,Run 2,5,FERA,Yes,9.97,53634,N,1,40.7,No,No
F294,Run 2,5,FERA,Yes,1.67,68090,P,12,40.8,No,No
F295,Run 2,5,FERA,No,0.00,44,N,1,42.4,No,No
F296,Run 2,5,FERA,Yes,1.53,114189,P,4,41.8,No,No
F297,Run 2,5,FERA,Yes,1.90,78013,P,5,42.1,No,No
F298,Run 2,5,FERA,No,0.00,50,P,12,39.1,No,No
F299,Run 2,5,FERA,No,0.00,74,P,3,41.5,No,No
F29,Run 1,1,FERA,Yes,3.40,46628,P,12,37.1,No,No
F2,Run 1,1,FERA,Yes,3.92,56858,P,3,41.1,No,No
F300,Run 2,5,FERA,No,0.00,49,N,2,41.6,No,No
F301,Run 2,5,FERA,Yes,9.62,20520,N,1,42.7,No,No
F302,Run 2,5,FERA,Yes,5.07,128053,P,7,41.9,No,No
F303,Run 2,5,FERA,No,0.00,107,P,5,41.7,No,No
F304,Run 2,5,FERA,Yes,0.00,20576,P,6,41.6,No,No
F305,Run 2,5,FERA,Yes,7.39,62619,P,12,38.0,No,No
F306,Run 2,5,FERA,No,0.00,12,P,12,39.2,No,No
F307,Run 2,5,FERA,Yes,0.00,700,P,12,35.4,No,No
F308,Run 2,5,FERA,Yes,8.75,78403,P,12,31.5,No,No
F309,Run 2,5,FERA,Yes,0.00,9927,P,8,40.9,No,No
