sample,run,plate,type,gel_band,concentration,reads_total,conv_P/N,qPCR_score,average_Ct,qPCR_inhibition,qPCR_degradation,GCNreads,mbNT_GCN
F363,Run 2,6,FERA,Yes,0.28,8675,N,6,40.7,No,No,5,P
F364,Run 2,6,FERA,Yes,1.96,41592,N,1,52,No,No,0,N
F365,Run 2,6,FERA,Yes,10,48324,N,1,39.8,No,No,0,N
F366,Run 2,6,FERA,Yes,30.1,66999,P,12,28,No,No,65325,P
F367,Run 2,6,FERA,Yes,19.5,52705,N,12,34.5,No,No,19787,P
F368,Run 2,6,FERA,Yes,26.9,68967,N,12,37.2,No,No,588,P
F369,Run 2,6,FERA,Yes,0.8,18288,N,2,39.2,No,No,0,N
F36,Run 1,1,FERA,Yes,2.45,45932,N,4,41.1,No,No,5,P
F370,Run 2,6,FERA,Yes,15.3,39143,N,1,41.7,No,No,56,P
F371,Run 2,6,FERA,Yes,0.47,10335,N,12,39.7,No,No,82,P
F372,Run 2,6,FERA,Yes,5.96,40207,N,12,38.7,No,No,1849,P
F373,Run 2,6,FERA,Yes,4.53,38139,N,12,39.4,No,No,867,P
F374,Run 2,6,FERA,Yes,3.06,29797,N,5,40.2,No,No,4334,P
F375,Run 2,6,FERA,Yes,0.84,13006,P,3,39.8,No,No,2790,P
F376,Run 2,6,FERA,No,0,5,N,12,40.1,No,No,0,N
F377,Run 2,6,FERA,Yes,21.2,58519,P,12,38.4,No,No,14,P
F378,Run 2,6,FERA,Yes,4.5,37906,N,8,41.9,No,No,2524,P
F379,Run 2,6,FERA,Yes,15.3,46620,N,9,38.4,No,No,184,P
F37,Run 1,1,FERA,Yes,13.4,47623,N,12,36.8,No,No,4593,P
F380,Run 2,6,FERA,Yes,2.18,38658,N,5,41,No,No,782,P
F381,Run 2,6,FERA,Yes,2.42,35805,N,1,43.5,No,No,0,N
F382,Run 2,6,FERA,No,0,0,N,12,36.4,No,No,0,N
F383,Run 2,7,FERA,Yes,0,842,N,0,0,No,No,0,N
F384,Run 2,7,FERA,Yes,8.1,44713,N,0,0,No,No,0,N
F385,Run 2,7,FERA,Yes,3.57,9088,N,0,0,No,No,0,N
F386,Run 2,7,FERA,No,0,12,N,0,0,No,No,0,N
F387,Run 2,7,FERA,Yes,0.37,2394,N,0,0,No,No,0,N
F388,Run 2,7,FERA,Yes,0.42,8658,NA,0,0,No,No,0,N
F389,Run 2,7,FERA,Yes,0.65,4235,N,0,0,No,No,0,N
F38,Run 1,1,FERA,Yes,6.22,54348,N,9,41.1,No,No,0,N
F390,Run 2,7,FERA,Yes,0,6718,N,0,0,No,No,0,N
F391,Run 2,7,FERA,Yes,1.64,9505,N,0,0,No,No,0,N
F392,Run 2,7,FERA,Yes,11,46148,N,0,0,No,No,0,N
F393,Run 2,7,FERA,Yes,1.2,5188,N,0,0,No,No,0,N
F394,Run 2,7,FERA,Yes,5.16,48691,N,0,0,No,No,0,N
F395,Run 2,7,FERA,No,0,176,N,0,0,No,No,0,N
F396,Run 2,7,FERA,Yes,1.73,28945,N,0,0,No,No,0,N
F397,Run 2,7,FERA,Yes,7,33678,N,0,0,No,No,0,N
F398,Run 2,7,FERA,Yes,25.2,58839,N,0,0,No,No,0,N
F399,Run 2,7,FERA,No,0.26,33,N,0,0,No,No,0,N
F39,Run 1,1,FERA,Yes,20,68181,N,2,39.6,No,No,0,N
F3,Run 1,1,FERA,Yes,0.28,4236,N,1,39.8,No,No,0,N
F400,Run 2,7,FERA,Yes,10.4,45112,N,0,0,No,No,0,N
F401,Run 2,7,FERA,Yes,3.83,27045,N,0,0,No,No,0,N
F402,Run 2,7,FERA,Yes,11,46230,N,0,0,No,No,0,N
F403,Run 2,7,FERA,Yes,14.3,49060,N,0,0,No,No,0,N
F404,Run 2,7,FERA,Yes,16,46166,N,0,0,No,No,0,N
F405,Run 2,7,FERA,Yes,20.3,50768,N,0,0,No,No,0,N
F406,Run 2,7,FERA,Yes,17.5,102115,N,0,0,No,No,0,N
F407,Run 2,7,FERA,Yes,12.9,45472,N,0,0,No,No,0,N
F408,Run 2,7,FERA,Yes,30.4,56877,N,0,0,No,No,0,N
F409,Run 2,7,FERA,Yes,2.85,38753,N,0,0,No,No,0,N
