"sample","run","plate","type","gel_band","concentration","reads_total","conv_P.N","qPCR_score","average_Ct","qPCR_inhibition","qPCR_degradation","GCNreads","mbNT_GCN","qPCR_thresh1","qPCR_thresh4","Anas_carolinensis","Anguilla_anguilla","Ardea_cinerea","Arvicola_amphibius","Barbatula_barbatula","Barbus_barbus","Bos_taurus","Bufo_bufo","Buteo_buteo","Canis_lupus","Carassius_carassius","Carduelis_carduelis","Cervus_elaphus","Clupea_harengus","Cottus_gobio","Cyprinus_carpio","Dendrocopos_major","Equus_caballus","Esox_lucius","Felis_catus","Fulica_atra","Gallinula_chloropus","Garrulus_glandarius","Gasterosteus_aculeatus","Gymnocephalus_cernua","Haematopus_ostralegus","Hippolais_polyglotta","Homo_sapiens","Lepus_europaeus","Lissotriton_helveticus","Lissotriton_vulgaris","Lutra_lutra","Meleagris_gallopavo","Meles_meles","Muntiacus_reevesi","Mus_musculus","Mustela_putorius","Myodes_glareolus","Neomys_fodiens","Numida_meleagris","Oncorhynchus_mykiss","Oryctolagus_cuniculus","Ovis_aries","Pelophylax_ridibundus","Phasianus_colchicus","Phoxinus_phoxinus","Picus_viridis","Pipistrellus_pipistrellus","Prunella_modularis","Pungitius_pungitius","Rana_temporaria","Rattus_norvegicus","Rhamphochromis_esox","Rutilus_rutilus","Sciurus_carolinensis","Sitta_europaea","Sorex_araneus","Squalius_cephalus","Strix_aluco","Sturnus_vulgaris","Sus_scrofa","Triturus_cristatus","Vulpes_vulpes","mbTA_GCN"
"F117","Run 1",3,"FERA","Yes",20.3,44850,"N",10,40.4,"No","No",286,"P","P","P",0,0,0,0,0,0,33647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,286,0,"P"
"F118","Run 1",3,"FERA","Yes",20.9,61872,"N",11,39.4,"No","No",80,"P","P","P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4335,0,0,0,0,0,0,0,0,49273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,0,0,0,0,0,0,0,0,0,0,80,0,"P"
"F119","Run 1",3,"FERA","Yes",32.8,56198,"N",4,41,"No","No",0,"N","P","P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5866,0,0,0,0,0,0,0,0,0,0,0,0,0,6940,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,"N"
"F12","Run 1",1,"FERA","Yes",25.6,73757,"P",4,39.4,"No","No",442,"P","P","P",0,0,0,0,0,0,630,0,0,0,0,0,0,0,0,0,0,0,0,0,18058,0,0,0,0,0,0,0,0,0,9616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,442,0,"P"
"F120","Run 1",3,"FERA","Yes",18.9,34271,"N",12,35,"No","No",8514,"P","P","P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8874,0,0,0,0,0,0,0,0,7361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,8514,0,"P"
"F121","Run 1",3,"FERA","Yes",3.19,47035,"N",3,42,"No","No",8,"P","P","N",0,0,0,0,0,0,5683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,"N"
"F122","Run 1",3,"FERA","Yes",6.91,41987,"P",6,39.8,"No","No",8965,"P","P","P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,21547,0,0,5070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8965,0,"P"
"F123","Run 1",3,"FERA","Yes",13.2,45767,"N",4,40.2,"No","No",471,"P","P","P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,0,0,0,0,0,28969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4867,471,0,"P"
"F124","Run 1",3,"FERA","Yes",5.76,51631,"N",12,39.3,"No","No",2904,"P","P","P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4768,0,0,0,0,0,25996,0,0,14988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1714,2904,0,"P"
"F125","Run 1",3,"FERA","Yes",2.9,24,"N",1,40.7,"No","No",0,"N","P","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,"N"
"F126","Run 1",3,"FERA","Yes",0.22,53523,"N",10,40.5,"No","No",761,"P","P","P",0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,0,0,0,0,0,50514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,761,0,"P"
