SampleID	marker	SRA_accession	BioSample_accession	BioProject_accession
F287	12S	SRR6285751	SAMN08011797	PRJNA417951
F288	12S	SRR6285750	SAMN08011798	PRJNA417951
F289	12S	SRR6285948	SAMN08011799	PRJNA417951
F29	12S	SRR6285949	SAMN08011800	PRJNA417951
F290	12S	SRR6285950	SAMN08011801	PRJNA417951
F291	12S	SRR6285951	SAMN08011802	PRJNA417951
F292	12S	SRR6286011	SAMN08011803	PRJNA417951
F293	12S	SRR6285953	SAMN08011804	PRJNA417951
F294	12S	SRR6285954	SAMN08011805	PRJNA417951
F295	12S	SRR6285955	SAMN08011806	PRJNA417951
F296	12S	SRR6285956	SAMN08011807	PRJNA417951
F297	12S	SRR6285957	SAMN08011808	PRJNA417951
F298	12S	SRR6285486	SAMN08011809	PRJNA417951
F299	12S	SRR6285485	SAMN08011810	PRJNA417951
F3	12S	SRR6285488	SAMN08011811	PRJNA417951
F30	12S	SRR6285487	SAMN08011812	PRJNA417951
F300	12S	SRR6285490	SAMN08011813	PRJNA417951
F301	12S	SRR6285489	SAMN08011814	PRJNA417951
F302	12S	SRR6285492	SAMN08011815	PRJNA417951
F303	12S	SRR6285491	SAMN08011816	PRJNA417951
F304	12S	SRR6285478	SAMN08011817	PRJNA417951
F305	12S	SRR6285477	SAMN08011818	PRJNA417951
F306	12S	SRR6285305	SAMN08011819	PRJNA417951
F307	12S	SRR6285306	SAMN08011820	PRJNA417951
F308	12S	SRR6285303	SAMN08011821	PRJNA417951
F309	12S	SRR6285304	SAMN08011822	PRJNA417951
F31	12S	SRR6285309	SAMN08011823	PRJNA417951
F310	12S	SRR6285310	SAMN08011824	PRJNA417951
F311	12S	SRR6285307	SAMN08011825	PRJNA417951
F312	12S	SRR6285308	SAMN08011826	PRJNA417951
F313	12S	SRR6285297	SAMN08011827	PRJNA417951
F314	12S	SRR6285298	SAMN08011828	PRJNA417951
F315	12S	SRR6285672	SAMN08011829	PRJNA417951
F316	12S	SRR6285671	SAMN08011830	PRJNA417951
F317	12S	SRR6285670	SAMN08011831	PRJNA417951
F318	12S	SRR6285669	SAMN08011832	PRJNA417951
F319	12S	SRR6285676	SAMN08011833	PRJNA417951
F32	12S	SRR6285675	SAMN08011834	PRJNA417951
F320	12S	SRR6285674	SAMN08011835	PRJNA417951
F321	12S	SRR6285673	SAMN08011836	PRJNA417951
F322	12S	SRR6285691	SAMN08011837	PRJNA417951
F323	12S	SRR6285663	SAMN08011838	PRJNA417951
F324	12S	SRR6285523	SAMN08011839	PRJNA417951
F325	12S	SRR6285795	SAMN08011840	PRJNA417951
